id,d_same_conflict,d_same_topic,margin,score,family,replicate,map_seed,blend
e511029,0.684599038462,0.505688694275,-0.178910344187,0,gaussian,0,20260911,projection
e515293,0.624422918455,0.665095729972,0.0406728115169,1,gaussian,0,20260911,projection
e527974,0.581976075621,0.609625201817,0.0276491261964,1,gaussian,0,20260911,projection
e529610,0.613956935416,0.598890610703,-0.0150663247132,0,gaussian,0,20260911,projection
e534757,0.623330336963,0.584646621832,-0.038683715131,0,gaussian,0,20260911,projection
e535396,0.651688693161,0.748025621891,0.0963369287303,1,gaussian,0,20260911,projection
e535562,0.683126326769,0.750597935216,0.0674716084462,1,gaussian,0,20260911,projection
e541035,0.690492067689,0.71825060955,0.0277585418614,1,gaussian,0,20260911,projection
e558518,0.546686702752,0.568333210832,0.0216465080804,1,gaussian,0,20260911,projection
e563179,0.720278689233,0.778946680679,0.0586679914464,1,gaussian,0,20260911,projection
e564214,0.712527289266,0.66121438442,-0.0513129048461,0,gaussian,0,20260911,projection
e570367,0.891784217014,0.639891100194,-0.25189311682,0,gaussian,0,20260911,projection
e578352,0.485849092876,0.639507551979,0.153658459103,1,gaussian,0,20260911,projection
e579607,0.898202479934,0.725891521977,-0.172310957958,0,gaussian,0,20260911,projection
e579873,0.785219963461,0.554047595911,-0.231172367549,0,gaussian,0,20260911,projection
e590577,0.485097226924,0.803590713953,0.318493487028,1,gaussian,0,20260911,projection
e594670,0.544505340199,0.565484947812,0.0209796076124,1,gaussian,0,20260911,projection
e598211,0.437195626129,0.689004668852,0.251809042723,1,gaussian,0,20260911,projection
e599508,0.581004165304,0.607527036264,0.0265228709603,1,gaussian,0,20260911,projection
e602550,0.763098037595,0.521191075257,-0.241906962338,0,gaussian,0,20260911,projection
e609396,0.695476579536,0.597365853294,-0.0981107262421,0,gaussian,0,20260911,projection
e612735,0.727517561743,0.751757918083,0.0242403563403,1,gaussian,0,20260911,projection
e620045,0.717274589613,0.692942091092,-0.0243324985213,0,gaussian,0,20260911,projection
e621976,0.45903872706,0.700686378944,0.241647651884,1,gaussian,0,20260911,projection
e624782,0.580712763773,0.652628397604,0.0719156338316,1,gaussian,0,20260911,projection
e628765,0.703091825284,0.707429058503,0.00433723321953,1,gaussian,0,20260911,projection
e629289,0.796562887329,0.580302453383,-0.216260433946,0,gaussian,0,20260911,projection
e629454,0.730557615063,0.619385399036,-0.111172216028,0,gaussian,0,20260911,projection
e630427,0.483468264247,0.678871423978,0.195403159731,1,gaussian,0,20260911,projection
e632673,0.761545197457,0.694324038238,-0.067221159219,0,gaussian,0,20260911,projection
e633721,0.738134731259,0.525614824426,-0.212519906833,0,gaussian,0,20260911,projection
e649147,0.673154841266,0.55666162464,-0.116493216626,0,gaussian,0,20260911,projection
e650040,0.682381839782,0.827548143144,0.145166303362,1,gaussian,0,20260911,projection
e656482,0.501529845549,0.320219933082,-0.181309912467,0,gaussian,0,20260911,projection
e660306,0.87438843645,0.536028009811,-0.338360426638,0,gaussian,0,20260911,projection
e661245,0.669920323037,0.734199973302,0.0642796502645,1,gaussian,0,20260911,projection
e664310,0.718082466033,0.63945614732,-0.0786263187129,0,gaussian,0,20260911,projection
e665956,0.633678285775,0.657169233776,0.0234909480014,1,gaussian,0,20260911,projection
e668083,0.84112375755,0.701663786964,-0.139459970586,0,gaussian,0,20260911,projection
e668841,0.570710748592,0.447280061672,-0.12343068692,0,gaussian,0,20260911,projection
e671472,0.854662354778,0.66640951808,-0.188252836699,0,gaussian,0,20260911,projection
e671952,0.439430232428,0.485491134477,0.0460609020488,1,gaussian,0,20260911,projection
e675540,0.675786523262,0.578991546997,-0.0967949762651,0,gaussian,0,20260911,projection
e676013,0.808675452068,0.565181444289,-0.243494007778,0,gaussian,0,20260911,projection
e677760,0.782075406236,0.733452995853,-0.048622410383,0,gaussian,0,20260911,projection
e682986,0.656879450242,0.53457057503,-0.122308875212,0,gaussian,0,20260911,projection
e684845,0.691939271925,0.53530261079,-0.156636661135,0,gaussian,0,20260911,projection
e687961,0.754345333583,0.63909453854,-0.115250795043,0,gaussian,0,20260911,projection
e689149,0.616299097988,0.797323064123,0.181023966135,1,gaussian,0,20260911,projection
e690672,0.537310002709,0.623909628243,0.0865996255337,1,gaussian,0,20260911,projection
e692313,0.71528675121,0.740342575902,0.0250558246915,1,gaussian,0,20260911,projection
e693438,0.552013400781,0.794110227703,0.242096826922,1,gaussian,0,20260911,projection
e696200,0.746283661133,0.747279183754,0.000995522620609,1,gaussian,0,20260911,projection
e699555,0.775387615023,0.54549564453,-0.229891970493,0,gaussian,0,20260911,projection
e711069,0.723388941216,0.654977015873,-0.0684119253433,0,gaussian,0,20260911,projection
e713368,0.643451736971,0.735713239643,0.0922615026722,1,gaussian,0,20260911,projection
e716892,0.527751447351,0.485427892214,-0.0423235551371,0,gaussian,0,20260911,projection
e721871,0.818493101631,0.71360302868,-0.104890072951,0,gaussian,0,20260911,projection
e729209,0.898299565609,0.676561481685,-0.221738083924,0,gaussian,0,20260911,projection
e729603,0.7180208381,0.592607155341,-0.125413682759,0,gaussian,0,20260911,projection
e732875,0.628158075285,0.5887047321,-0.0394533431842,0,gaussian,0,20260911,projection
e735008,0.769925745659,0.719772329541,-0.0501534161183,0,gaussian,0,20260911,projection
e735739,0.72670578777,0.63208485222,-0.0946209355497,0,gaussian,0,20260911,projection
e742051,0.59079023445,0.721530877022,0.130740642572,1,gaussian,0,20260911,projection
e748039,0.667248799902,0.533851050035,-0.133397749867,0,gaussian,0,20260911,projection
